Building,Floor,Best Available Refuge Area,Geocoding,FormattedAddress
Campus Drive Parking Deck,1,"Inside hallways, common restrooms outside room 166, room 166, room 155, room 127, room 128","33.212657, -87.540976","Campus Drive Parking Deck, Tuscaloosa, AL 35401, USA"
Capstone College of Nursing,1,"Room 1012, room 1026, room 1027","33.206764, -87.526365","Capstone College of Nursing, 650 University Boulevard, Tuscaloosa, AL 35401, USA"
Capstone Retirement Village,1,Interior halls except rooms D104 and D106,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Capstone Village (All Cottages),ALL,Closet inside master bathroom,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Capstone Village (Hallmark Manor),ALL,All bathrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Capstone Village (Traditions Way),ALL,All bathrooms EXCEPT rooms 116 and 141,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Carmichael Hall,1,"Hallway between rooms 101A and 101I, hallway between center hallway and stairwell","33.211183, -87.548346","Carmichael Hall, Tuscaloosa, AL 35401, USA"
Child Development Research Center,1,"Room 33A-C, room 18, room 171, room 173, room 69, room 52, common restrooms near room 52, hallway outside common restrooms near room 52 including from room 59 to room 174","33.209202, -87.528681","Child Development Research Center, Tuscaloosa, AL 35404, USA"
Clark Hall,1,North stairwell,"33.212559, -87.545925","Clark Hall, Tuscaloosa, AL 35401, USA"
Coleman Coliseum,B,North stairwell,"33.203024, -87.539691","Coleman Coliseum, Tuscaloosa, AL 35401, USA"
Coleman Coliseum,1,Hallways,"33.203024, -87.539691","Coleman Coliseum, Tuscaloosa, AL 35401, USA"
Coleman Coliseum,2,All restrooms,"33.203024, -87.539691","Coleman Coliseum, Tuscaloosa, AL 35401, USA"
Design House,1,Hallway between room 104 and 108,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Doster Hall,1,Room 104,"33.209007, -87.548189","Doster Hall, Tuscaloosa, AL 35401, USA"
East Annex,1,Interior hallway,"33.208462, -87.547212","East Annex, Tuscaloosa, AL 35401, USA"
East Quad Energy Plant,1,Room 105,"33.210149, -87.542296","East Quad Energy Plant, Tuscaloosa, AL 35401, USA"
